year,average,moving_average_10_years,average_10_years
1950,4.1,,4.4
1951,4.4,,
1952,4.7,,
1953,4.4,,
1954,4.5,,
1955,4.1,,
1956,3,,
1957,5.8,4.6,
1958,4.4,4.5,
1959,4.6,4.4,
1960,4.9,4.5,4.64
1961,5.8,4.6,
1962,5.1,4.7,
1963,3.8,4.6,
1964,5,4.7,
1965,3.9,4.6,
1966,5.2,4.9,
1967,5.3,4.8,
1968,4.3,4.8,
1969,3.1,4.6,
1970,4.8,4.6,5.03
1971,4.8,4.5,
1972,5.9,4.6,
1973,5.2,4.8,
1974,6,4.9,
1975,6.6,5.1,
1976,3.2,4.9,
1977,5,4.9,
1978,3.8,4.8,
1979,5,5,
1980,4.1,5,5.19
1981,6.4,5.1,
1982,5.3,5.1,
1983,6.2,5.2,
1984,5.1,5.1,
1985,4,4.8,
1986,4.9,5,
1987,3.2,4.8,
1988,5.6,5,
1989,7.1,5.2,
1990,6.3,5.4,5.64
1991,6.2,5.4,
1992,5.9,5.5,
1993,4.7,5.3,
1994,4.6,5.3,
1995,6.6,5.5,
1996,5.4,5.6,
1997,5,5.7,
1998,5.1,5.7,
1999,6.6,5.6,
2000,6.6,5.7,6.25
2001,5.9,5.6,
2002,6.2,5.7,
2003,5.7,5.8,
2004,5.8,5.9,
2005,6.2,5.9,
2006,5.5,5.9,
2007,7.1,6.1,
2008,7.3,6.3,
2009,6.2,6.3,
2010,6.5,6.2,6.74
2011,6.7,6.3,
2012,5.8,6.3,
2013,6.7,6.4,
2014,6.9,6.5,
2015,7.4,6.6,
2016,6.7,6.7,
2017,6.3,6.7,
2018,6.6,6.6,
2019,7.8,6.7,
2020,8.1,6.9,8.1