id,population,name,name_ru,dosesAdministered,peopleVaccinated,completedVaccination,date_begin,duration,vaccinated_percent,percent_per_day
USA,331996000,U.S.,США,312915170,175053401,146456124,20.12.2020,179,52.73,0.29
RUS,146749000,Russia,Россия,33000000,18000000,15000000,15.12.2020,184,12.27,0.07
MEX,127576000,Mexico,Мексика,37803462,26422800,15175659,24.12.2020,175,20.71,0.12
TUR,83155000,Turkey,Турция,37149173,23124686,14024487,14.01.2021,154,27.81,0.18
DEU,83093000,Germany,Германия,62264554,40707016,22967526,27.12.2020,172,48.99,0.28
GBR,66797000,U.K.,Великобритания,72461462,42021089,30440373,20.12.2020,179,62.91,0.35
FRA,64822000,France,Франция,46192065,31083259,16953092,04.01.2021,164,47.95,0.29
ARG,44939000,Argentina,Аргентина,16876619,13389726,3486893,29.12.2020,170,29.80,0.18
CAN,37527000,Canada,Канада,30240607,23313174,3049801,14.12.2020,185,62.12,0.34
ROU,19405000,Romania,Румыния,8632630,4594058,4271102,28.12.2020,171,23.67,0.14
CHL,19107000,Chile,Чили,20865931,11744468,9117659,24.12.2020,175,61.47,0.35
SWE,10328000,Sweden,Швеция,6537349,4243415,2293934,27.12.2020,172,41.09,0.24
HUN,9773000,Hungary,Венгрия,9635114,5363124,4271990,28.12.2020,171,54.88,0.32
ISR,9051000,Israel,Израиль,10633297,5485962,5147335,19.12.2020,180,60.61,0.34
CHE,8545000,Switzerland,Швейцария,6120202,3768490,2351712,14.01.2021,154,44.10,0.29
BGR,6951000,Bulgaria,Болгария,1602136,890393,713244,29.12.2020,170,12.81,0.08
FIN,5518000,Finland,Финляндия,3643845,2896238,747607,31.12.2020,168,52.49,0.31