inn,name,group,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
7726221073,"ЗАО  ""КОМБИНАТ ДОШКОЛЬНОГО ПИТАНИЯ""",1,1180356910,3537863474,6975346432,6975346432,13745282952,13839782255,22171314040,22171314040,27835962709,33907632018
7728095201,ООО «Школьник-ЮЗ»,1,1466657783,3063219194,6113041117,6113041117,13148844250,13148844250,25313868921,25313868921,29421711529,33522853392
7704167591,"ООО ""ВИТО-1""",1,1053572671,6969199396,7070942791,7070942791,10362466931,10399175752,15735641000,15735641000,19608677233,23492704091
7801499923,"ООО ""Комбинат питания ""КОНКОРД""",1,1632605354,6257036232,6340862030,6340862030,12419554458,12677570021,22336314852,22390474594,22443486501,22443486501
7713213445,ООО 'Московский школьник',1,596517365,1491225367,2228981847,2228981847,9198059259,9198059259,19606934975,19606934975,20028382097,20463418703
7729583071,ООО «РусСоцКапитал»,1,0,0,0,0,0,0,0,0,6007680067,14999405728
7729644246,"ООО ""Верона""",1,0,0,0,0,0,0,0,0,6768587410,13644701531
7716771303,"ОАО ""ОБЪЕДИНЕННЫЙ КОМБИНАТ ШКОЛЬНОГО ПИТАНИЯ"" СВАО",1,0,2665730389,2665881761,2665881761,6663896439,6663896439,6663896439,6663896439,6663896439,6663896439
7729628928,"ООО ""Продсоюз""",1,187712,187712,187712,187712,187712,187712,187712,187712,4344598740,4344598740
7716614646,"ГУП ""Объединенный комбинат школьного питания"" СВАО",1,111619847,3892032715,3894729796,3894729796,3894729796,3894729796,3894729796,3894729796,3894729796,3894729796
7715631649,"ООО ""ВИЛМАП""",1,602279,1356076,1356076,1356076,1356076,1356076,1356076,1356076,961736235,3767476661
7708729192,"ООО ""Социальное питание ""ЦЕНТР""",1,6263270,6263270,6263270,6263270,6263270,6263270,2707042039,2707042039,2707042039,2707042039
7709537944,"ООО ""Коникс-Школьник""",2,734600292,735182284,2120125315,2120125315,2120125315,2120125315,2120125315,2120125315,2120125315,2120125315
7703803815,"ОАО ""Социальное питание ""Центр""",2,0,1325101078,1325101078,1325101078,1466193664,1466193664,1466193664,1466193664,1466193664,1466193664
7703757809,"ОАО""Социальное питание ""Центр""",2,0,1405176022,1406358444,1406358444,1406358444,1406358444,1406358444,1406358444,1406358444,1406358444
7714938596,"ООО ""Спектр-Кейтеринг""",2,0,0,1226637879,1226637879,1226637879,1226637879,1226637879,1226637879,1226637879,1226637879
7727021870,ООО САТУРН-ШБС-3,2,333366119,707987232,802901434,802901434,802901434,802901434,802901434,802901434,802901434,802901434
7736622807,"ООО ""АВК""",1,553149484,582950992,582950992,582950992,582950992,582950992,582950992,582950992,582950992,582950992
7714024401,"ООО ""Комбинат школьного питания ""Логарифм""",2,263146339,514403103,528115092,528115092,528115092,528115092,528115092,528115092,528115092,528115092
7723521819,ООО «Комбинат детского питания»,2,440220867,440479527,440479527,440479527,440479527,440479527,440479527,440479527,440479527,440479527
7736538312,ОАО Мосгорснабпродторг,2,382428258,387334361,396566182,396566182,396566182,396566182,396566182,396566182,396566182,396566182
7726666308,"ООО ""Комбинат Питания ""Прогресс""",2,0,0,316738549,347731794,347731794,357926563,362499785,379912561,379912561,379912561
7720240721,ООО ВОСТОЧНЫЙ КОМБИНАТ ПИТАНИЯ,2,296824759,297004759,297004759,297004759,297004759,297004759,297004759,297004759,297004759,297004759
7726526477,"ООО ""М.А.С.""",2,5058723,42031658,234435078,268769957,268769957,268769957,268769957,268769957,268769957,268769957
7718778350,"ООО ""МИСАН""",2,208419558,224430479,225262340,225262340,225262340,225262340,225262340,225262340,225262340,225262340
7733840765,"ОАО ""Комбинат питания ""Школьник""",1,0,0,25715020,25715020,163440925,163440925,163440925,163440925,163440925,163440925
7733013074,"ШКОЛЬНИК КОМБИНАТ ПИТАНИЯ, ГУП Г.МОСКВЫ",2,101555778,101555778,102155378,102155378,102155378,102155378,102155378,102155378,102155378,102155378
0,Не указано,3,0,0,0,0,0,0,0,0,66899387,88145130
7721519518,ООО «Уикенд-130»,2,0,66070368,68622845,68622845,68622845,68622845,68622845,68622845,68622845,68622845
7733747389,"ООО ""ПродФутСервис""",1,64999687,64999687,64999687,64999687,64999687,64999687,64999687,64999687,64999687,64999687
7810827017,"ООО ""Комбинат питания ""НЕВСКИЙ""",2,17000068,46297463,46297463,46297463,46297463,46297463,46297463,46297463,46297463,46297463
7732015760,"ООО ""Интеграл""",2,3648846,32164705,33043854,33043854,33043854,33043854,33043854,33043854,33043854,33043854
7701214966,"ГУП г.Москвы ""Школьно-базовая столовая ""Эллипс""",2,28010192,28010192,28010192,28010192,28010192,28010192,28010192,28010192,28010192,28010192
9705046297,"ООО ""ПЕГАС-ПРОД""",2,0,0,0,0,0,0,0,0,18521321,27626839
5046041506,"МУП ГОРОДСКОГО ОКРУГА ТРОИЦК В ГОРОДЕ МОСКВЕ ""МАГАЗИН ""ЦЕНТРАЛЬНЫЙ""",2,0,0,0,0,25524165,25524165,25524165,25524165,25524165,25524165
7718532692,"ООО ""Комбинат питания ""Альф""",1,14448626,16137349,16137349,16137349,25123576,25123576,25123576,25123576,25123576,25123576
7707513017,"ООО ""Атлантис""",2,0,24288610,24598610,24598610,24598610,24598610,24598610,24598610,24598610,24598610
7729677146,ООО «Вента»,2,214574,814214,19072328,19072328,19072328,19072328,19072328,19072328,19072328,19072328
7718761195,"ООО ""Гамма+""",2,3763520,16396859,16396859,16396859,16396859,16396859,16396859,16396859,16396859,16396859
7720771225,"ОАО ""Перовский школьник""",2,0,14298214,15604856,15604856,15604856,15604856,15604856,15604856,15604856,15604856
7751527033,"ООО ""ГОРОБЩЕПИТ""",2,0,0,0,0,0,0,0,14220836,14220836,14220836
7721029295,"ООО кафе ""УТРО""",2,14130472,14130472,14130472,14130472,14130472,14130472,14130472,14130472,14130472,14130472
7731419840,Комбинат Питания Хлебосол,2,0,8758705,12288226,12288226,12288226,12288226,12288226,12288226,12288226,12288226
7743813104,ООО «Инпродком»,2,11657722,11657722,11657722,11657722,11657722,11657722,11657722,11657722,11657722,11657722
5032209325,Торговый Дом Кеви,2,0,0,0,0,0,0,0,0,9038670,9038670
7720203656,"ООО коммерческо-производственная фирма ""ПРОМЕТЕЙ""",2,0,0,8997286,8997286,8997286,8997286,8997286,8997286,8997286,8997286
7703104800,"ГУП ШБС ""Пресня""",2,8684785,8684785,8684785,8684785,8684785,8684785,8684785,8684785,8684785,8684785
7734550025,"ООО ""Торгово-производственная компания ""Здоровый Город""",2,8280674,8280674,8280674,8280674,8280674,8280674,8280674,8280674,8280674,8280674
7743667943,ООО Торговый дом «ДиетЭкс»,2,0,3051113,6443854,6443854,6443854,6443854,6443854,6443854,6443854,6443854
7724230058,"Общество с ограниченной ответственостью ""СоцПроекты""",2,0,4726621,4726621,4726621,4726621,4726621,4726621,4726621,4726621,4726621
7734667295,ВЫМПЕЛ-ТОРГ,2,0,2745210,4555628,4555628,4555628,4555628,4555628,4555628,4555628,4555628
7709911888,"ООО  КПФ ""КАПИТАЛ""",2,0,0,4178916,4178916,4178916,4178916,4178916,4178916,4178916,4178916
7712004569,"ПЕРЕМЕНА ШБС, ГУП",2,4019963,4019963,4019963,4019963,4019963,4019963,4019963,4019963,4019963,4019963
7743768821,"ООО ""Торговый Дом ""ИКМА""",2,3862404,3862404,3862404,3862404,3862404,3862404,3862404,3862404,3862404,3862404
7729648378,"ООО КП ""Хлебосол""",2,3848934,3848934,3848934,3848934,3848934,3848934,3848934,3848934,3848934,3848934
7715643066,"ООО ""ДЕЛЬТА-ТОРГ""",2,3712670,3712670,3712670,3712670,3712670,3712670,3712670,3712670,3712670,3712670
7719583379,АНО « Столовая при ГОУ Гимназия №1563»,2,3571872,3571872,3571872,3571872,3571872,3571872,3571872,3571872,3571872,3571872
7723805384,ГУП «Социальное питание «Юго-Восток»,2,2226081,2226081,3438137,3438137,3438137,3438137,3438137,3438137,3438137,3438137
7720003223,"ГУП ""Перовский Школьник""",2,3267515,3267515,3372680,3372680,3372680,3372680,3372680,3372680,3372680,3372680
5003041276,"ООО ""Региональное общество сбыта ""Продукт""",2,1289210,1289210,3190860,3190860,3190860,3190860,3190860,3190860,3190860,3190860
7737033890,"ОАО ""Комбинат школьного питания"" ЗАГОРЬЕ""",2,3077463,3077463,3077463,3077463,3077463,3077463,3077463,3077463,3077463,3077463
7735062768,"ГУП города Москвы ""Школьный Комбинат Питания города Зеленограда""",2,3061252,3061252,3061252,3061252,3061252,3061252,3061252,3061252,3061252,3061252
7715944786,"ООО Компания ""Юнорд""",2,0,0,2890944,2890944,2890944,2890944,2890944,2890944,2890944,2890944
7723003084,ГУП «Школьно-базовая столовая «Люблино»,2,2261087,2261087,2261087,2261087,2261087,2261087,2261087,2261087,2261087,2261087
7717746476,"Общество с ограниченной ответственности ""ОбщепитСтандарт""",2,0,0,2138296,2138296,2138296,2138296,2138296,2138296,2138296,2138296
7714007477,"ШКОЛЬНОЕ ПИТАНИЕ, ГУП ГОРОДА МОСКВЫ САО",2,2112292,2112292,2112292,2112292,2112292,2112292,2112292,2112292,2112292,2112292
7727270348,"ЗАО ""Каховка 6""",2,685717,1145717,1944141,1944141,1944141,1944141,1944141,1944141,1944141,1944141
5018086760,"ООО ""Антураж-Центр""",2,377820,1425419,1825259,1825259,1825259,1825259,1825259,1825259,1825259,1825259
7734634170,ООО ВДВ - Инвест,2,0,1785789,1785789,1785789,1785789,1785789,1785789,1785789,1785789,1785789
7721035450,ШКОЛЬНО-БАЗОВАЯ СТОЛОВАЯ ВЫХИНО ГУП ГОРОДА МОСКВЫ,2,1487476,1487476,1487476,1487476,1487476,1487476,1487476,1487476,1487476,1487476
7722348270,ООО «Экосреда»,2,0,0,0,0,0,0,0,0,0,1308978
7729424096,ООО “Фуд Сервис”,2,1240783,1240783,1240783,1240783,1240783,1240783,1240783,1240783,1240783,1240783
7731257156,"ООО ""Школьные годы""",2,1205263,1205263,1205263,1205263,1205263,1205263,1205263,1205263,1205263,1205263
5036084762,Балакина Л.В.,2,1147575,1147575,1147575,1147575,1147575,1147575,1147575,1147575,1147575,1147575
7734509757,Казенное предприятие города Москвы «Физкультурно-спортивный центр «Строгино»,2,0,735840,1107680,1107680,1107680,1107680,1107680,1107680,1107680,1107680
7722464519,"ООО ""Ньютехнолоджи""",2,0,0,0,0,0,0,0,0,0,1045968
7720536380,"АНО ""Столовая государственного общеобразовательного учреждения средней общеобразовательной школы с углубленным изучением области знаний ""Искусство"" № 1925""",2,1021000,1021000,1021000,1021000,1021000,1021000,1021000,1021000,1021000,1021000
7729438652,АНО содействия здоровому образу жизни молодежи «Берегиня»,2,1018500,1018500,1018500,1018500,1018500,1018500,1018500,1018500,1018500,1018500
3526013449,"ОАО ""Дед Мороз""",2,924080,924080,924080,924080,924080,924080,924080,924080,924080,924080
7723862777,"ОАО ""Социальное питание ""Юго-Восток""",2,0,0,873180,873180,873180,873180,873180,873180,873180,873180
7731066480,"ГУП города Москвы школьно-базовая столовая ""Кунцево""",2,871519,871519,871519,871519,871519,871519,871519,871519,871519,871519
2301013215,ФГОУ СПО «Анапский сельскохозяйственный техникум»,2,748752,748752,748752,748752,748752,748752,748752,748752,748752,748752
7727393519,"ООО ""ТД АГРОРЕСУРС""",2,0,0,0,0,0,0,0,0,0,677824
7708556493,ГАЛАНТ,2,0,0,649627,649627,649627,649627,649627,649627,649627,649627
7721516595,"ООО ""Надин""",2,0,310191,606395,606395,606395,606395,606395,606395,606395,606395
7719046744,"ООО ""Фабус""",2,0,0,600000,600000,600000,600000,600000,600000,600000,600000
7722761208,"ООО ""Тридос Плюс""",2,0,367500,598500,598500,598500,598500,598500,598500,598500,598500
7719048879,"СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 1563, ГОУ",2,547262,547262,547262,547262,547262,547262,547262,547262,547262,547262
7715617588,"ООО ""ЮННИС""",2,0,0,540225,540225,540225,540225,540225,540225,540225,540225
7705853184,ООО 'МАКСИ-Инжиниринг',2,0,0,517500,517500,517500,517500,517500,517500,517500,517500
7725692898,ООО «Комбинат питания «Лагуна»,2,511800,511800,511800,511800,511800,511800,511800,511800,511800,511800
7720501290,«Мериленд»,2,0,277200,504000,504000,504000,504000,504000,504000,504000,504000
7736235460,"ООО "" Механика""",2,490000,490000,490000,490000,490000,490000,490000,490000,490000,490000
7727096668,ООО «Научно-производственное объединение» Лабиринт»,2,0,445954,445954,445954,445954,445954,445954,445954,445954,445954
7707185704,"ЗАО ""Продуктово-пищевая компания""",2,0,400500,400500,400500,400500,400500,400500,400500,400500,400500
7715758525,"ООО ""ПиС""",2,0,399500,399500,399500,399500,399500,399500,399500,399500,399500
7715346144,ООО «Валигор Н»,2,0,0,398640,398640,398640,398640,398640,398640,398640,398640
7718551423,"ООО ""ИДиС-тур""",2,0,0,396270,396270,396270,396270,396270,396270,396270,396270
772365032425,Кашина А.М.,2,0,0,396000,396000,396000,396000,396000,396000,396000,396000
7721002046,"ЗАО ""КУЗЬМИНСКОЕ""",2,395000,395000,395000,395000,395000,395000,395000,395000,395000,395000
504800196280,Иванова Елена  Владимировна,2,0,0,392000,392000,392000,392000,392000,392000,392000,392000
7701922648,"ООО ""Компания Аэролинк""",2,0,0,382872,382872,382872,382872,382872,382872,382872,382872
7709770563,"ЗАО ""А Клуб""",2,0,0,361200,361200,361200,361200,361200,361200,361200,361200
771987911317,Нану Мария Петровна,2,0,0,353100,353100,353100,353100,353100,353100,353100,353100
7728623363,"ООО ""Инженерные комплексные системы""",2,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000
7726639110,"ООО ""УЧЕНИК""",2,328720,328720,328720,328720,328720,328720,328720,328720,328720,328720
7709160529,"ООО ""КАЛИТНИКИ-КЕЙТЕРИНГ""",2,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000
7715747450,ЗАО  «Гостиничный комплекс «Металлург»,2,0,0,301050,301050,301050,301050,301050,301050,301050,301050
7734708054,"ООО ""ОРИОН""",2,0,0,275000,275000,275000,275000,275000,275000,275000,275000
7730651150,"ООО ""Созвездие""",2,0,263188,263188,263188,263188,263188,263188,263188,263188,263188
7724285586,"ООО ""Вода ОнЛайн""",2,0,0,257911,257911,257911,257911,257911,257911,257911,257911
7701503608,"АНО  ""Санаторно-курортное информационное объединение ""Здравница""",2,0,0,257400,257400,257400,257400,257400,257400,257400,257400
7730052050,"ФГУП ""Государственный космический научно-производственный центр имени М.В.Хруничева""",2,254665,254665,254665,254665,254665,254665,254665,254665,254665,254665
5029163832,"ООО ""Халмер""",2,0,0,120000,254300,254300,254300,254300,254300,254300,254300
2374000698,ООО «Джей Эс Эн»,2,0,0,237758,237758,237758,237758,237758,237758,237758,237758
5039000717,"ГУП ""Пансионат с лечением ""Пущино""",2,229896,229896,229896,229896,229896,229896,229896,229896,229896,229896
1655019276,"ООО ""ПЕРСОНА ГРАТА""",2,0,0,217360,217360,217360,217360,217360,217360,217360,217360
7710867182,"ООО ""Профпоставка""",2,204050,204050,204050,204050,204050,204050,204050,204050,204050,204050
7728785685,"ООО ""Хорошие продукты""",2,0,195998,195998,195998,195998,195998,195998,195998,195998,195998
7743623093,"ООО ""Восток-Запад Столица""",2,0,184000,184000,184000,184000,184000,184000,184000,184000,184000
7723323824,"ООО ""ЛТ-Трейд""",2,178080,178080,178080,178080,178080,178080,178080,178080,178080,178080
7736509030,"ООО ""ДНД Инвест""",2,0,0,176400,176400,176400,176400,176400,176400,176400,176400
132601571710,Коянкин Дмитрий  Павлович,2,0,0,166353,166353,166353,166353,166353,166353,166353,166353
3441013182,"Волгоградская региональная общественная организация ""Детский оздоровительный центр физической культуры и спорта""",2,0,0,161000,161000,161000,161000,161000,161000,161000,161000
7719079370,ЗАО «МПО Электромонтаж»,2,0,150015,150015,150015,150015,150015,150015,150015,150015,150015
5029171551,ООО «Лангур»,2,0,0,146702,146702,146702,146702,146702,146702,146702,146702
7731260409,"ООО ""ДЕНИС""",2,0,0,137500,137500,137500,137500,137500,137500,137500,137500
7715775390,"ООО ""ДГС""",2,129850,129850,129850,129850,129850,129850,129850,129850,129850,129850
7714008061,ГБУК г. Москвы «Москонцерт»,2,0,0,127062,127062,127062,127062,127062,127062,127062,127062
7724726255,"ООО ""Школьно-базовая столовая 2000""",2,117793,117793,117793,117793,117793,117793,117793,117793,117793,117793
7701922285,ООО «ВКУС»,2,112170,112170,112170,112170,112170,112170,112170,112170,112170,112170
7203195453,"ООО ""Муромец""",2,0,105300,105300,105300,105300,105300,105300,105300,105300,105300
262800967612,Федотова Ольга Федоровна,2,0,0,105000,105000,105000,105000,105000,105000,105000,105000
7735575015,"ООО ""Город вод""",2,0,0,0,98499,98499,98499,98499,98499,98499,98499
782600145587,Коршунова Татьяна Михайловна,2,0,0,93500,93500,93500,93500,93500,93500,93500,93500
231200538917,Лукьянова Наталья Николаевна,2,0,0,91800,91800,91800,91800,91800,91800,91800,91800
5005001110,ЗАО «Мособлстрой № 5»,2,0,89250,89250,89250,89250,89250,89250,89250,89250,89250
7728719820,"ООО ""РиАл""",2,0,0,51050,51050,51050,51050,51050,51050,51050,51050
